127.0.0.1 - - [24/Sep/2015:01:24:01 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/ HTTP/1.1" 200 10124
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:14 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/ HTTP/1.1" 200 10124
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:36:19 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/ HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:29 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/ HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:37 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/ HTTP/1.1" 200 10171
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:47 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/ HTTP/1.1" 200 10171
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:37:50 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/ HTTP/1.1" 200 10181
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:38:00 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:15 +0800] "GET /mavenweb/ HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:16 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:16 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:16 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:16 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:16 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:16 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:41:17 +0800] "GET /mavenweb/ HTTP/1.1" 200 10210
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/ HTTP/1.1" 200 10131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:06 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/ HTTP/1.1" 200 10131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:09 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:20 +0800] "GET /mavenweb/ HTTP/1.1" 200 10628
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:21 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:21 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:21 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:21 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:21 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:43:21 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/ HTTP/1.1" 200 11125
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:44:27 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:47:28 +0800] "GET /mavenweb/ HTTP/1.1" 200 8798
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/ HTTP/1.1" 200 8798
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:14 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/ HTTP/1.1" 200 8965
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:48:57 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/ HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:40 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:51 +0800] "GET /mavenweb/ HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:51:51 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:11 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:25 +0800] "GET /mavenweb/ HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:25 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:25 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:25 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:25 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:25 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:26 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:26 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
